key,date,era,net_tone,hawk_hits,dove_hits,tokens,chair_turns
20190130,2019-01-30,powell,0.0259,7,3,5948,31
20190320,2019-03-20,powell,-0.1253,2,10,5752,29
20190501,2019-05-01,powell,-0.0838,6,10,5132,26
20190619,2019-06-19,powell,-0.0799,3,10,5642,28
20190731,2019-07-31,powell,-0.3527,2,23,6078,29
20190918,2019-09-18,powell,-0.1514,1,13,6816,31
20191030,2019-10-30,powell,-0.1943,3,15,5958,34
20191211,2019-12-11,powell,-0.1233,5,16,7250,30
20200129,2020-01-29,powell,-0.0748,0,6,7547,26
20200315,2020-03-15,powell,0.0,2,2,5750,21
20200429,2020-04-29,powell,-0.0548,1,4,6750,17
20200610,2020-06-10,powell,-0.0968,1,9,8653,16
20200729,2020-07-29,powell,-0.1362,0,11,8427,23
20200916,2020-09-16,powell,-0.2168,4,20,8939,26
20201105,2020-11-05,powell,-0.2182,2,18,6803,20
20201216,2020-12-16,powell,-0.1087,5,13,8467,24
20210127,2021-01-27,powell,-0.1237,7,15,7906,20
20210317,2021-03-17,powell,-0.0437,9,10,8362,28
20210428,2021-04-28,powell,-0.0785,4,9,7954,26
20210616,2021-06-16,powell,0.0,11,7,8548,24
20210728,2021-07-28,powell,-0.0453,2,5,7788,23
20210922,2021-09-22,powell,-0.0472,5,8,7190,29
20211103,2021-11-03,powell,-0.0295,3,6,7182,26
20211215,2021-12-15,powell,0.0858,7,2,8691,29
20220126,2022-01-26,powell,0.0228,9,13,7676,22
20220316,2022-03-16,powell,0.1197,12,7,6983,28
20220504,2022-05-04,powell,0.0425,9,6,6769,21
20220615,2022-06-15,powell,0.0563,15,8,7896,28
20220727,2022-07-27,powell,-0.0903,13,19,7844,29
20220921,2022-09-21,powell,0.1055,21,10,5749,24
20221102,2022-11-02,powell,0.405,42,5,6638,25
20221214,2022-12-14,powell,0.2059,33,13,6421,23
20230201,2023-02-01,powell,0.1534,30,27,6116,30
20230322,2023-03-22,powell,0.2257,28,8,5674,34
20230503,2023-05-03,powell,0.1015,27,15,7019,33
20230614,2023-06-14,powell,0.1891,25,7,7158,29
20230726,2023-07-26,powell,0.1258,36,18,6971,38
20230920,2023-09-20,powell,0.103,18,6,7631,32
20231101,2023-11-01,powell,0.3336,35,9,7300,32
20231213,2023-12-13,powell,0.0998,22,13,6430,31
20240131,2024-01-31,powell,0.0237,20,15,7109,37
20240320,2024-03-20,powell,0.0128,17,14,6062,35
20240501,2024-05-01,powell,-0.0122,26,14,6685,36
20240612,2024-06-12,powell,-0.0057,16,14,7699,30
20240731,2024-07-31,powell,0.0661,29,16,6921,33
20240918,2024-09-18,powell,-0.1038,18,27,6710,35
20241107,2024-11-07,powell,-0.1995,12,21,6036,31
20241218,2024-12-18,powell,-0.1386,17,22,8131,32
20250129,2025-01-29,powell,-0.15,16,16,6947,39
20250319,2025-03-19,powell,-0.1215,15,19,7471,38
20250507,2025-05-07,powell,-0.3426,12,28,6680,38
20250618,2025-06-18,powell,-0.091,8,12,7729,33
20250730,2025-07-30,powell,0.1201,32,16,6257,34
20250917,2025-09-17,powell,-0.2968,5,22,7094,36
20251029,2025-10-29,powell,-0.2258,9,22,7846,33
20251210,2025-12-10,powell,-0.2041,4,16,7350,33
20260128,2026-01-28,powell,-0.3152,11,26,6042,43
20260318,2026-03-18,powell,0.0,14,7,6677,35
20260429,2026-04-29,powell,-0.0224,5,6,7973,37
20260617,2026-06-17,warsh,0.0348,3,1,5154,24
20260729,2026-07-29,warsh,0.1428,12,0,5937,23
20260916,2026-09-16,warsh,0.0605,4,0,3347,17
